Task,Variable,n1,n2,Shapiro_p_group1,Shapiro_p_group2,Levene_p,Primary_inference_path,Sensitivity_inference_path,Cliffs_delta,Cliffs_delta_boot_median,Cliffs_delta_ci95_low,Cliffs_delta_ci95_high,MedianDiff_boot_median_g2_minus_g1,MedianDiff_ci95_low,MedianDiff_ci95_high,Sample_size_fragility
Task3_S_vs_P,mean_mir203,36,36,0.0706035847197445,0.6844100423438298,0.0068179601747086925,Mann-Whitney U,Welch t-test,1.0,1.0,1.0,1.0,-6.753333334999997,-7.086708331624999,-6.484916666625,none
Task3_S_vs_P,mean_mir223,36,36,0.013067486089107136,0.2844859387798116,0.0004684877821448526,Mann-Whitney U,Welch t-test,1.0,1.0,1.0,1.0,-6.918333329999999,-7.416666669999998,-6.624958333375,none
Task3_S_vs_P,mean_mir381p,36,36,0.17514123980187923,0.049382389694996004,0.03838633555697728,Mann-Whitney U,Welch t-test,1.0,1.0,1.0,1.0,-7.036666665000002,-7.280000000000001,-6.59808333,none
Task3_S_vs_P,dct_mir146a,36,36,0.003755533044767119,0.2118565780042428,0.808732212177427,Mann-Whitney U,Welch t-test,0.8657407407407407,0.8688271604938271,0.7422067901234568,0.9459876543209876,-1.1408333325000024,-1.6667916699999945,-0.7781250016250013,none
Task3_S_vs_P,dct_mir146b,36,36,0.20505763195619858,0.2523990728138096,0.7929422622235893,Mann-Whitney U,Welch t-test,0.8410493827160493,0.8472222222222222,0.6959104938271605,0.9444830246913579,-0.9150000050000013,-1.5851249998750008,-0.6331666633749994,none
Task3_S_vs_P,dct_mir155,36,36,0.8760538691377984,0.3138052401928912,0.7305645510283979,Mann-Whitney U,Welch t-test,0.9490740740740741,0.9537037037037037,0.8796296296296297,0.9907407407407407,-1.2941666650000014,-1.6433750016249942,-0.9198750000000018,none
Task3_S_vs_P,dct_mir203,36,36,0.46751480575688753,0.6368441431828937,0.003177476106298946,Mann-Whitney U,Welch t-test,0.9922839506172839,0.9938271604938271,0.9691358024691358,1.0,-1.5708333349999988,-1.81679167,-1.3482083299999992,none
Task3_S_vs_P,dct_mir223,36,36,0.6535152959343091,0.6943835427960499,7.634014580652308e-05,Mann-Whitney U,Welch t-test,0.9228395061728395,0.9290123456790124,0.7993441358024691,0.9953703703703703,-1.6549999999999994,-2.088666668374998,-1.2931666730000004,none
Task3_S_vs_P,dct_mir381p,36,36,0.7641756236261084,0.02544478510253709,0.002497865189818653,Mann-Whitney U,Welch t-test,0.8888888888888888,0.8904320987654321,0.7237268518518518,1.0,-1.8491666700000042,-2.0466666601249996,-1.3866666648750017,none
Task3_S_vs_P,mean_GAPDH,36,36,0.00020864735539719915,0.6476238675363195,0.35692037416305844,Mann-Whitney U,Welch t-test,1.0,1.0,1.0,1.0,-5.226666665,-5.373333330000001,-5.050000000000001,none
Task3_S_vs_P,global_mean_ct_all7_proxy,36,36,0.09450135895781347,0.6277585876895881,0.7427708444277362,Mann-Whitney U,Welch t-test,1.0,1.0,1.0,1.0,-6.346190475714282,-6.477636902910716,-6.242363093571428,none
Task3_S_vs_P,global_mean_ct_miRNA_only_proxy,36,36,0.17700721164359468,0.7696340359953789,0.7707962277583612,Mann-Whitney U,Welch t-test,1.0,1.0,1.0,1.0,-6.498055554166658,-6.682548610291659,-6.364159722208339,none
