family,marker,clinical_variable,n,beta,beta_ci95_low,beta_ci95_high,p,shapiro_resid_p,breusch_pagan_p,frac_cook_gt_4_over_n,max_vif_numeric,reset_p,assumption_flag,inference_tier,q_fdr_bh
raw,mean_mir203,plaque_index,108,-0.10749608427268145,-0.33086782439774404,0.11587565585238113,0.3420306837180127,0.009225340190041797,0.03970025893121231,0.05555555555555555,10375.973516793296,0.4631589896843451,review,exploratory_adjusted,0.7230999539486324
raw,mean_mir203,gingival_index,108,-0.038327382699875304,-0.2171361459479339,0.14048138054818332,0.6715884088227386,0.0008787938053128773,0.41144601072323694,0.05555555555555555,10375.973516793296,0.7899209393825698,review,exploratory_adjusted,0.8826065243940675
raw,mean_mir203,pocket_depth,108,-0.2533334859213773,-0.47494288709045107,-0.031724084752303455,0.02547656417020296,0.00017899261146207634,1.9710749442421312e-05,0.08333333333333333,10375.973516793296,0.270860626519285,review,exploratory_adjusted,0.3821484625530444
raw,mean_mir203,bleeding_on_probing,108,0.8285146528707994,-5.883069977512003,7.540099283253602,0.8070441878001904,0.01626724814855744,0.0005631623498001345,0.07407407407407407,10375.973516793296,0.10398658895243143,review,exploratory_adjusted,0.888928766882985
raw,mean_mir203,number_of_missing_teeth,108,0.19341709015868347,-0.3141384529730614,0.7009726332904284,0.4514376796017898,4.879272745591699e-11,0.7595735921740011,0.07407407407407407,10375.973516793296,0.5751840184882815,review,exploratory_adjusted,0.7230999539486324
raw,mean_mir223,plaque_index,108,-0.08945455832862151,-0.26564931277833964,0.08674019612109662,0.31627158326108995,0.0070474869098901185,0.03157089250997217,0.046296296296296294,8822.521803995065,0.47389136723972897,review,exploratory_adjusted,0.7230999539486324
raw,mean_mir223,gingival_index,108,0.045773959173327716,-0.09436300746054604,0.18591092580720148,0.5184807793971842,0.00045889415331335865,0.39018824132554625,0.05555555555555555,8822.521803995065,0.7955599550062914,review,exploratory_adjusted,0.7777211690957763
raw,mean_mir223,pocket_depth,108,0.0676117828279047,-0.11111262583257797,0.24633619148838737,0.4547289502122725,8.366717726902984e-05,5.7028762146196824e-05,0.1111111111111111,8822.521803995065,0.1988686358396876,review,exploratory_adjusted,0.7230999539486324
raw,mean_mir223,bleeding_on_probing,108,1.1143284307374257,-4.171074936512531,6.399731797987382,0.6766650020354518,0.009209585414344109,0.00011545971224754936,0.08333333333333333,8822.521803995065,0.11811864222445907,review,exploratory_adjusted,0.8826065243940675
raw,mean_mir223,number_of_missing_teeth,108,0.04695868440474282,-0.3538426360332172,0.44776000484270284,0.8166837592987317,3.9537907893930146e-11,0.87755601154588,0.07407407407407407,8822.521803995065,0.7976035818052791,review,exploratory_adjusted,0.888928766882985
raw,mean_mir381p,plaque_index,108,-0.07374850076165981,-0.2347320960894129,0.08723509456609327,0.36563455726658844,0.011608907532717112,0.04208503627539857,0.05555555555555555,6434.079728009717,0.4259122247889493,review,exploratory_adjusted,0.7230999539486324
raw,mean_mir381p,gingival_index,108,-0.05110786271152702,-0.1798036973211556,0.07758797189810156,0.43266921308232553,0.0007020945445855128,0.2880164366287085,0.05555555555555555,6434.079728009717,0.811326145461592,review,exploratory_adjusted,0.7230999539486324
raw,mean_mir381p,pocket_depth,108,0.07942933917108658,-0.08344050637085673,0.24229918471302989,0.3356361381923827,0.00017403300201712446,2.3691208593820338e-05,0.09259259259259259,6434.079728009717,0.34605526495694455,review,exploratory_adjusted,0.7230999539486324
raw,mean_mir381p,bleeding_on_probing,108,1.3369590617181997,-3.482752640552367,6.156670763988767,0.5833456860158771,0.019048628537439154,0.0007755810605396715,0.09259259259259259,6434.079728009717,0.11004242970785982,review,exploratory_adjusted,0.8333509800226816
raw,mean_mir381p,number_of_missing_teeth,108,-0.13664370825595792,-0.5004572359396319,0.227169819427716,0.45796330416746717,5.758708783563834e-11,0.6023500173574505,0.06481481481481481,6434.079728009717,0.26466787401641084,review,exploratory_adjusted,0.7230999539486324
abd,abd_mir146a,plaque_index,108,-0.09823580370612747,-0.31870063857228526,0.12222903116003028,0.378838343682355,0.005969310683863405,0.042638083431291746,0.05555555555555555,10595.402422584722,0.5310246841614067,review,exploratory_adjusted,0.7230999539486422
abd,abd_mir146a,gingival_index,108,-0.10814105197312447,-0.2835257193544767,0.06724361540822772,0.22411711653444036,0.0008420818013847425,0.3318035962137995,0.037037037037037035,10595.402422584722,0.9084411015041359,review,exploratory_adjusted,0.7230999539486422
abd,abd_mir146a,pocket_depth,108,0.0181245461819467,-0.20761081800609185,0.24385991036998525,0.8737695071696394,0.00014369998873374243,9.458732242458239e-06,0.09259259259259259,10595.402422584722,0.3125308587277029,review,exploratory_adjusted,0.888928766883018
abd,abd_mir146a,bleeding_on_probing,108,-5.076825000770502,-11.648812216070102,1.4951622145290973,0.1285448529965219,0.050675281699510216,4.428228174040508e-05,0.07407407407407407,10595.402422584722,0.35134375418804414,review,exploratory_adjusted,0.6427242649826095
abd,abd_mir146a,number_of_missing_teeth,108,-0.4421682235131791,-0.9412018050300022,0.05686535800364406,0.08183124236396926,2.412732540166111e-10,0.6757430586082322,0.06481481481481481,10595.402422584722,0.9801730382351008,review,exploratory_adjusted,0.49098745418381556
abd,abd_mir146b,plaque_index,108,0.11198176607615551,-0.0847842925190063,0.30874782467131734,0.2615875950999804,0.01420002792806028,0.060360945789430465,0.05555555555555555,7414.619197098459,0.22535511748005052,review,exploratory_adjusted,0.7230999539486422
