family,marker,clinical_variable,beta_adj_std,p_adj,partial_r2,rho_unadj,rho_unadj_p,adj_r2_model,n,q_adj_fdr,classification
raw,mean_mir155,gingival_index,-0.45173467344905505,0.3239750094373829,0.009633059348514966,-0.591275144411989,1.6129826508833013e-11,0.6545964080112366,108,0.7230999539486476,mostly_group_or_structure_driven
raw,mean_mir155,pocket_depth,-0.07405869948928623,0.8357566999570152,0.00042759782322231876,-0.6142554311927257,1.5485639741197151e-12,0.788914193839779,108,0.8889287668831118,mostly_group_or_structure_driven
raw,mean_mir155,bleeding_on_probing,-0.6481907618245091,0.07867203105904036,0.030298158607740443,-0.6938586913159266,8.455015105463136e-17,0.7786111434298522,108,0.4909874541837905,mostly_group_or_structure_driven
raw,mean_mir155,number_of_missing_teeth,0.20573839837831231,0.7797931846199245,0.0007774963054539424,-0.25827785033261846,0.006958546335280337,0.10438227687245061,108,0.8889287668831118,mostly_group_or_structure_driven
raw,mean_mir203,plaque_index,-0.525728978715814,0.3420306837180034,0.008942763775892775,-0.5881454807326074,2.188184979714547e-11,0.5969719107020426,108,0.7230999539486476,mostly_group_or_structure_driven
raw,mean_mir203,gingival_index,-0.21719010692517604,0.6715884088227181,0.0017869325766111121,-0.5426687661303402,1.303938305521066e-09,0.6532793823510973,108,0.8826065243940789,mostly_group_or_structure_driven
raw,mean_mir203,pocket_depth,-0.8813714944249502,0.025476564170202817,0.0484490295299208,-0.5989662269741355,7.516506558654052e-12,0.7992528077305638,108,0.38214846255304225,mostly_group_or_structure_driven
raw,mean_mir203,bleeding_on_probing,0.10104537692957194,0.8070441878001979,0.0005933851220138925,-0.6291157427011466,3.0667660119584035e-13,0.7737320886196386,108,0.8889287668831118,mostly_group_or_structure_driven
raw,mean_mir203,number_of_missing_teeth,0.6197361356856965,0.4514376796017383,0.0056262159038884384,-0.22948312964035888,0.016890442609379098,0.10683557561533474,108,0.7230999539486476,mostly_group_or_structure_driven
raw,mean_mir223,plaque_index,-0.44526123752277247,0.31627158326109034,0.009943134850279648,-0.5915532889484338,1.569600754294692e-11,0.5967698350094346,108,0.7230999539486476,mostly_group_or_structure_driven
raw,mean_mir223,gingival_index,0.26399305104955495,0.5184807793971808,0.00413975001240346,-0.49849465085764716,4.0133883782642674e-08,0.6575511614475146,108,0.7777211690957713,mostly_group_or_structure_driven
raw,mean_mir223,pocket_depth,0.23940429108293126,0.45472895021227416,0.005545061086325867,-0.5655661856552757,1.7994695116755405e-10,0.7900436276522949,108,0.7230999539486476,mostly_group_or_structure_driven
raw,mean_mir223,bleeding_on_probing,0.13831605932852398,0.6766650020354605,0.0017288720235161417,-0.6027487327853313,5.124699646093995e-12,0.7743593699019914,108,0.8826065243940789,mostly_group_or_structure_driven
raw,mean_mir223,number_of_missing_teeth,0.15313379207149383,0.8166837592987997,0.0005345465491746049,-0.2285249716572507,0.017367417673710018,0.10440686340770933,108,0.8889287668831118,mostly_group_or_structure_driven
raw,mean_mir381p,plaque_index,-0.3608677155885449,0.36563455726658556,0.008110555552563037,-0.6169585354532,1.1607981401081398e-12,0.5962312835727801,108,0.7230999539486476,mostly_group_or_structure_driven
raw,mean_mir381p,gingival_index,-0.28976381981378563,0.4326692130823217,0.006107032945904986,-0.551980811414827,5.933234204416507e-10,0.6535651196377725,108,0.7230999539486476,mostly_group_or_structure_driven
raw,mean_mir381p,pocket_depth,0.2764858521040125,0.33563613819238847,0.00918160862889351,-0.588707019276005,2.0721571835228343e-11,0.7908561732987767,108,0.7230999539486476,mostly_group_or_structure_driven
raw,mean_mir381p,bleeding_on_probing,0.16313980034543396,0.5833456860158802,0.0029890845312845454,-0.6414885362070977,7.443316216398226e-14,0.7749362710606902,108,0.833350980022686,mostly_group_or_structure_driven
raw,mean_mir381p,number_of_missing_teeth,-0.4380535221314359,0.45796330416747677,0.005466197616825088,-0.33523241892846184,0.0003903884622059009,0.11485888463413685,108,0.7230999539486476,mostly_group_or_structure_driven
abd,abd_mir146a,plaque_index,-0.11182055848489966,0.37883834368235775,0.007676415112775297,0.6092098317203055,2.6327540982135104e-12,0.6020559478391236,108,0.7230999539486491,mostly_group_or_structure_driven
abd,abd_mir146a,gingival_index,-0.14262775570734193,0.2241171165344458,0.014596748055961156,0.582529452635963,3.751888122645785e-11,0.6618963818305728,108,0.7230999539486491,mostly_group_or_structure_driven
abd,abd_mir146a,pocket_depth,0.014676284598143796,0.8737695071696457,0.00025111357751865694,0.49909922944912166,3.841838619936213e-08,0.788876379093626,108,0.8889287668831098,mostly_group_or_structure_driven
abd,abd_mir146a,bleeding_on_probing,-0.14410897548418589,0.12854485299652257,0.02272234368200945,0.626212391110489,4.236701724904977e-13,0.7800972053480327,108,0.6427242649826128,mostly_group_or_structure_driven
abd,abd_mir146a,number_of_missing_teeth,-0.3297479359612683,0.08183124236396519,0.029680715415371497,0.09484680363779706,0.32886096660731506,0.12483828276747588,108,0.49098745418379114,mostly_group_or_structure_driven
abd,abd_mir146b,plaque_index,0.12587522561905584,0.26158759509997176,0.01246212777909444,0.6336534624199183,1.8380819119298573e-13,0.5976257256191391,108,0.7230999539486491,mostly_group_or_structure_driven
abd,abd_mir146b,gingival_index,0.2030365600951669,0.04970852241083102,0.03759502959872416,0.6337498458967395,1.8180383910565712e-13,0.6618074451966398,108,0.49098745418379114,mostly_group_or_structure_driven
abd,abd_mir146b,pocket_depth,-0.021311133250532188,0.7923688072103617,0.0006892373008832304,0.515875047294787,1.1044755203166367e-08,0.7889754399374579,108,0.8889287668831098,mostly_group_or_structure_driven
abd,abd_mir146b,bleeding_on_probing,0.21118072706020236,0.01094449922044555,0.06238742254549204,0.6663816319379171,3.5150816899709967e-15,0.7852055454049114,108,0.3283349766133665,mostly_group_or_structure_driven
abd,abd_mir146b,number_of_missing_teeth,0.02327099336167837,0.8889287668831098,0.0001940570387472068,0.13834858608021952,0.1533186006627324,0.10586255835314362,108,0.8889287668831098,mostly_group_or_structure_driven
abd,abd_mir155,plaque_index,-0.09400082063444239,0.41437664717625317,0.006606917209889549,0.6059966569831788,3.6734690408697625e-12,0.6015657449139853,108,0.7230999539486491,mostly_group_or_structure_driven
